Id,R,Nome,Squadra,,Qt. I,Diff.
1946,P,ARESTI,Cagliari,,1,0
761,P,AUDERO,Sampdoria,,9,1
2875,P,BAGHERIA,Parma,,1,0
799,P,BARDI,Frosinone,,1,0
720,P,BELEC,Sampdoria,,1,0
316,P,BERISHA E,Atalanta,,12,-5
248,P,BERNI,Inter,,1,0
509,P,CONSIGLI,Sassuolo,,9,0
2178,P,CRAGNO,Cagliari,,8,4
40,P,DA COSTA,Bologna,,1,0
216,P,DONNARUMMA A,Milan,,1,0
350,P,DONNARUMMA G,Milan,,12,1
1917,P,DRAGOWSKI,Fiorentina,,1,0
2799,P,FRATTALI,Parma,,1,0
1941,P,FULIGNATI,Empoli,,1,0
2781,P,FUZATO,Roma,,1,0
2874,P,GHIDOTTI,Fiorentina,,1,0
610,P,GOLLINI,Atalanta,,1,3
540,P,GOMIS A,SPAL,,1,7
317,P,GUERRIERI,Lazio,,1,0
250,P,HANDANOVIC,Inter,,16,0
2862,P,IACOBUCCI,Frosinone,,1,0
542,P,ICHAZO,Torino,,1,2
570,P,KARNEZIS,Napoli,,1,3
2387,P,LAFONT,Fiorentina,,10,1
318,P,MARCHETTI,Genoa,,10,-6
572,P,MERET,Napoli,,14,-4
2170,P,MILINKOVIC-SAVIC V,SPAL,,8,-6
41,P,MIRANTE,Roma,,1,0
2792,P,MUSSO,Udinese,,8,0
2271,P,NICOLAS,Udinese,,1,0
2836,P,OLSEN,Roma,,14,-2
2468,P,OSPINA,Napoli,,1,3
543,P,PADELLI,Inter,,1,0
510,P,PEGOLO,Sassuolo,,1,0
218,P,PERIN,Juventus,,1,2
1930,P,PINSOGLIO,Juventus,,1,0
2091,P,PLIZZARI,Milan,,1,0
2256,P,POLUZZI,SPAL,,1,0
2770,P,PROTO,Lazio,,1,0
2814,P,PROVEDEL,Empoli,,6,-3
1843,P,RADU I,Genoa,,1,6
611,P,RAFAEL,Cagliari,,1,0
386,P,RAFAEL CABRAL,Sampdoria,,1,0
387,P,REINA,Milan,,1,0
2790,P,ROSATI,Torino,,1,0
2297,P,ROSSI F,Atalanta,,1,0
2249,P,SANTURRO,Bologna,,1,0
2127,P,SATALINO,Sassuolo,,1,0
